player_name,position,season,fpts_pg,fpts_season,vorp_pg,vorp_season,replacement_pg,est_games,adp,adp_round
Hunter Renfrow,WR,2022,3.99,39.9,-4.89,-48.9,8.88,10,143.1,12
Diontae Johnson,WR,2022,8.74,131.1,-0.14,-2.1,8.88,15,50.9,5
Kyler Murray,QB,2022,12.28,184.2,-3.12,-46.8,15.4,15,56.9,5
Kyler Murray,QB,2022,12.28,184.2,-3.12,-46.8,15.4,15,137.6,12
T.J. Hockenson,TE,2022,6.82,102.3,1.72,25.8,5.1,15,73.4,7
Miles Sanders,RB,2022,6.91,103.6,0.47,7.0,6.44,15,62.2,6
Devin Singletary,RB,2022,5.57,83.6,-0.87,-13.0,6.44,15,74.8,7
Devin Singletary,RB,2022,5.57,83.6,-0.87,-13.0,6.44,15,122.0,11
Tony Pollard,RB,2022,7.98,119.7,1.54,23.1,6.44,15,69.3,6
DK Metcalf,WR,2022,8.38,125.7,-0.5,-7.5,8.88,15,46.7,4
Damien Harris,RB,2022,4.92,73.8,-1.52,-22.8,6.44,15,53.5,5
Terry McLaurin,WR,2022,9.46,141.9,0.58,8.7,8.88,15,42.3,4
Marquise Brown,WR,2022,8.96,134.4,0.08,1.2,8.88,15,66.4,6
A.J. Brown,WR,2022,11.38,170.7,2.5,37.5,8.88,15,28.4,3
David Montgomery,RB,2022,6.53,98.0,0.09,1.3,6.44,15,38.1,4
Dawson Knox,TE,2022,5.14,51.4,0.04,0.4,5.1,10,157.9,14
Dawson Knox,TE,2022,5.14,51.4,0.04,0.4,5.1,10,130.2,11
Josh Jacobs,RB,2022,9.44,141.6,3.0,45.0,6.44,15,128.7,11
Deebo Samuel Sr.,WR,2022,6.82,102.3,-2.06,-30.9,8.88,15,21.3,2
J.K. Dobbins,RB,2022,5.36,80.4,-1.08,-16.2,6.44,15,36.2,4
Gabe Davis,WR,2022,6.06,90.9,-2.82,-42.3,8.88,15,64.5,6
Jonathan Taylor,RB,2022,9.24,138.6,2.8,42.0,6.44,15,1.3,1
Donovan Peoples-Jones,WR,2022,6.8,68.0,-2.08,-20.8,8.88,10,157.7,14
Zack Moss,RB,2022,1.7,17.0,-4.74,-47.4,6.44,10,170.5,15
Brandon Aiyuk,WR,2022,8.42,126.3,-0.46,-6.9,8.88,15,95.6,8
Jordan Love,QB,2022,1.48,14.8,-13.92,-139.2,15.4,10,158.2,14
D'Andre Swift,RB,2022,4.15,41.5,-2.29,-22.9,6.44,10,10.8,1
Cole Kmet,TE,2022,4.14,41.4,-0.96,-9.6,5.1,10,116.2,10
Cole Kmet,TE,2022,4.14,41.4,-0.96,-9.6,5.1,10,132.7,12
Darnell Mooney,WR,2022,7.0,70.0,-1.88,-18.8,8.88,10,73.8,7
Darnell Mooney,WR,2022,7.0,70.0,-1.88,-18.8,8.88,10,122.5,11
Justin Jefferson,WR,2022,15.46,231.9,6.58,98.7,8.88,15,4.8,1
Chase Claypool,WR,2022,4.96,74.4,-3.92,-58.8,8.88,15,164.0,14
Antonio Gibson,RB,2022,5.24,78.6,-1.2,-18.0,6.44,15,102.2,9
K.J. Osborn,WR,2022,3.6,36.0,-5.28,-52.8,8.88,10,163.0,14
Justin Herbert,QB,2022,15.16,227.4,-0.24,-3.6,15.4,15,33.9,3
CeeDee Lamb,WR,2022,10.38,155.7,1.5,22.5,8.88,15,19.2,2
Clyde Edwards-Helaire,RB,2022,3.17,31.7,-3.27,-32.7,6.44,10,52.4,5
Clyde Edwards-Helaire,RB,2022,3.17,31.7,-3.27,-32.7,6.44,10,128.5,11
Joshua Kelley,RB,2022,3.12,31.2,-3.32,-33.2,6.44,10,164.1,14
Jalen Hurts,QB,2022,17.56,263.4,2.16,32.4,15.4,15,57.6,5
Jerry Jeudy,WR,2022,8.82,132.3,-0.06,-0.9,8.88,15,63.6,6
Tee Higgins,WR,2022,12.43,186.4,3.55,53.2,8.88,15,33.2,3
Cam Akers,RB,2022,4.81,72.1,-1.63,-24.4,6.44,15,31.4,3
Rashod Bateman,WR,2022,6.85,68.5,-2.03,-20.3,8.88,10,85.4,8
Nico Collins,WR,2022,6.94,104.1,-1.94,-29.1,8.88,15,126.4,11
Chuba Hubbard,RB,2022,1.51,15.1,-4.93,-49.3,6.44,10,153.8,13
Elijah Mitchell,RB,2022,5.5,55.0,-0.94,-9.4,6.44,10,41.8,4
Jaylen Waddle,WR,2022,10.3,103.0,1.42,14.2,8.88,10,38.8,4
Rhamondre Stevenson,RB,2022,7.45,111.8,1.01,15.2,6.44,15,75.6,7
Najee Harris,RB,2022,6.83,102.4,0.39,5.9,6.44,15,7.5,1
Pat Freiermuth,TE,2022,6.62,99.3,1.52,22.8,5.1,15,111.5,10
Ja'Marr Chase,WR,2022,18.31,274.6,9.43,141.4,8.88,15,8.9,1
DeVonta Smith,WR,2022,9.58,143.7,0.7,10.5,8.88,15,87.7,8
Kadarius Toney,WR,2022,1.52,15.2,-7.36,-73.6,8.88,10,108.1,10
Rondale Moore,WR,2022,8.73,131.0,-0.15,-2.2,8.88,15,135.2,12
Justin Fields,QB,2022,10.08,100.8,-5.32,-53.2,15.4,10,136.3,12
Amon-Ra St. Brown,WR,2022,10.52,157.8,1.64,24.6,8.88,15,75.3,7
Elijah Moore,WR,2022,4.39,43.9,-4.49,-44.9,8.88,10,91.8,8
Javonte Williams,RB,2022,6.9,103.5,0.46,6.9,6.44,15,18.1,2
Isiah Pacheco,RB,2022,6.2,93.0,-0.24,-3.6,6.44,15,109.8,10
Jaylen Warren,RB,2022,2.87,28.7,-3.57,-35.7,6.44,10,128.8,11
Drake London,WR,2022,6.52,97.8,-2.36,-35.4,8.88,15,115.7,10
Chris Olave,WR,2022,8.72,130.8,-0.16,-2.4,8.88,15,114.2,10
