adp,Name,Pos,Team,Overall,Std.,High,Low
187,Marquez Valdes-Scantling,WR,PIT,159.6,17,9.07,17.02
188,K.J. Osborn,WR,FA,160.2,16.4,9.08,16.07
189,Jason Sanders,PK,MIA,160.5,14.6,10.08,15.12
190,Gus Edwards,RB,FA,160.6,12.8,11.06,15.12
191,Chuba Hubbard,RB,CAR,160.7,13.9,9.09,15.12
192,Jake Ferguson,TE,DAL,161.9,17.1,11.08,17.1
193,Alec Pierce,WR,IND,162,12.9,11.04,15.11
194,Zack Moss,RB,FA,163,20.6,9.1,18.06
195,Jalin Hyatt,WR,NYG,163.1,24.3,7.06,18.06
196,Justyn Ross,WR,FA,164.2,21.1,7.05,18.03
197,Evan McPherson,PK,CIN,164.9,19.1,10.04,18.02
198,Washington Defense,DEF,WAS,165.1,15.9,12.06,18.06
199,Greg Zuerlein,PK,FA,165.8,17.2,12.01,18.06
200,Jason Myers,PK,SEA,166.1,14.9,10.12,16.12
201,Graham Gano,PK,NYG,167.1,16.1,12.04,19.02
202,Chase Claypool,WR,FA,169.1,10,12.09,15.12
205,Matt Prater,PK,BUF,193.5,13,15.01,18.02
