player_id,player_name,position,season,metric,mean,std,p25,median,p75
00-0029604,Kirk Cousins,QB,2021,attempts,35.0625,7.2798,31.75,35.0,38.0
00-0029604,Kirk Cousins,QB,2021,passing_yards,263.8125,77.12,212.75,262.5,327.25
00-0029604,Kirk Cousins,QB,2021,passing_tds,2.0625,0.7719,1.75,2.0,3.0
00-0029604,Kirk Cousins,QB,2022,attempts,37.8235,9.0363,32.0,38.0,41.0
00-0029604,Kirk Cousins,QB,2022,passing_yards,267.4706,88.699,221.0,265.0,299.0
00-0029604,Kirk Cousins,QB,2022,passing_tds,1.7059,0.9852,1.0,2.0,2.0
00-0029604,Kirk Cousins,QB,2023,attempts,38.875,10.6829,31.0,44.0,45.5
00-0029604,Kirk Cousins,QB,2023,passing_yards,291.375,90.2567,250.75,314.0,364.75
00-0029604,Kirk Cousins,QB,2023,passing_tds,2.25,0.8864,2.0,2.0,2.25
00-0029604,Kirk Cousins,QB,2024,attempts,32.3571,9.5403,27.5,29.5,36.5
00-0029604,Kirk Cousins,QB,2024,passing_yards,250.5714,94.505,222.75,235.0,268.25
00-0029604,Kirk Cousins,QB,2024,passing_tds,1.2857,1.4373,0.0,1.0,1.75
00-0029604,Kirk Cousins,QB,2025,attempts,26.9,10.9184,20.75,30.5,32.75
00-0029604,Kirk Cousins,QB,2025,passing_yards,172.1,96.4393,135.0,176.5,198.5
00-0029604,Kirk Cousins,QB,2025,passing_tds,1.0,1.0541,0.0,1.0,1.75
00-0029665,Robert Griffin III,QB,2020,attempts,3.5,5.6862,0.75,1.0,3.75
00-0029665,Robert Griffin III,QB,2020,passing_yards,10.5,15.5885,0.0,4.5,15.0
00-0029665,Robert Griffin III,QB,2020,passing_tds,0.0,0.0,0.0,0.0,0.0
00-0029701,Ryan Tannehill,QB,2020,attempts,30.0625,7.523,24.0,27.5,32.5
00-0029701,Ryan Tannehill,QB,2020,passing_yards,238.6875,72.971,207.75,227.0,262.5
00-0029701,Ryan Tannehill,QB,2020,passing_tds,2.0625,1.1236,1.0,2.0,3.0
00-0029701,Ryan Tannehill,QB,2021,attempts,31.2353,8.9759,27.0,29.0,33.0
00-0029701,Ryan Tannehill,QB,2021,passing_yards,219.6471,70.9445,191.0,212.0,270.0
00-0029701,Ryan Tannehill,QB,2021,passing_tds,1.2353,1.1472,1.0,1.0,1.0
00-0029701,Ryan Tannehill,QB,2022,attempts,27.0833,6.5707,21.75,26.0,33.25
00-0029701,Ryan Tannehill,QB,2022,passing_yards,211.3333,73.4665,140.0,217.5,264.5
00-0029701,Ryan Tannehill,QB,2022,passing_tds,1.0833,0.9003,0.0,1.0,2.0
00-0029701,Ryan Tannehill,QB,2023,attempts,25.5556,5.7903,24.0,25.0,26.0
00-0029701,Ryan Tannehill,QB,2023,passing_yards,179.5556,64.2244,152.0,168.0,240.0
00-0029701,Ryan Tannehill,QB,2023,passing_tds,0.4444,0.7265,0.0,0.0,1.0
00-0030520,Mike Glennon,QB,2020,attempts,35.8,7.791,35.0,37.0,42.0
00-0030520,Mike Glennon,QB,2020,passing_yards,214.4,76.9012,211.0,235.0,261.0
00-0030520,Mike Glennon,QB,2020,passing_tds,1.4,0.8944,1.0,2.0,2.0
00-0030520,Mike Glennon,QB,2021,attempts,27.8333,11.2679,24.25,26.0,33.75
00-0030520,Mike Glennon,QB,2021,passing_yards,131.6667,70.5342,94.5,143.0,190.0
00-0030520,Mike Glennon,QB,2021,passing_tds,0.6667,0.8165,0.0,0.5,1.0
00-0030533,Matt Barkley,QB,2020,attempts,5.25,5.5603,2.25,4.0,7.0
00-0030533,Matt Barkley,QB,2020,passing_yards,49.25,77.0254,8.25,16.5,57.5
00-0030533,Matt Barkley,QB,2020,passing_tds,0.25,0.5,0.0,0.0,0.25
00-0030565,Geno Smith,QB,2021,attempts,23.75,6.2383,20.75,23.0,26.0
00-0030565,Geno Smith,QB,2021,passing_yards,175.5,34.4238,158.0,181.0,198.5
00-0030565,Geno Smith,QB,2021,passing_tds,1.25,0.5,1.0,1.0,1.25
00-0030565,Geno Smith,QB,2022,attempts,33.6471,5.6672,30.0,33.0,37.0
00-0030565,Geno Smith,QB,2022,passing_yards,251.8824,56.4146,210.0,238.0,275.0
00-0030565,Geno Smith,QB,2022,passing_tds,1.7647,0.9034,1.0,2.0,2.0
00-0030565,Geno Smith,QB,2023,attempts,33.2667,7.592,27.5,34.0,39.0
00-0030565,Geno Smith,QB,2023,passing_yards,241.6,81.6979,184.5,233.0,311.0
