attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_ppr_projected,player_id,player_name,position,team,age,age_multiplier,projection_confidence,games_recent,games,fpts_ppr_actual,error,abs_error,pct_error
,,0.0,0.0,0.0,158.0,626.0,3.9,56.0,46.0,329.0,1.7,175.1,00-0033906,Alvin Kamara,RB,NO,29.0,0.76,Medium,13,14,265.3,-90.20000000000002,90.20000000000002,-34.0
,,0.0,0.0,0.0,0.0,0.0,0.0,104.0,72.0,847.0,5.9,192.1,00-0033908,Cooper Kupp,WR,LA,31.0,0.87,Medium,13,14,190.0,2.0999999999999943,2.0999999999999943,1.1
,,0.0,0.0,0.0,0.0,0.0,0.0,117.0,80.0,908.0,3.1,189.4,00-0033921,Chris Godwin Jr.,WR,TB,29.0,0.98,High,19,7,137.8,51.599999999999994,51.599999999999994,37.4
,,0.0,0.0,0.0,129.0,465.0,7.4,14.0,10.0,63.0,0.4,109.6,00-0033923,Kareem Hunt,RB,CLE,29.0,0.76,High,16,16,183.4,-73.80000000000001,73.80000000000001,-40.2
,,0.0,0.0,0.0,144.0,603.0,4.4,29.0,20.0,152.0,0.9,127.3,00-0033925,D'Onta Foreman,RB,CHI,28.0,0.86,Medium,9,10,32.6,94.69999999999999,94.69999999999999,290.5
,,0.0,0.0,0.0,76.0,272.0,2.4,15.0,13.0,64.0,0.5,64.0,00-0033948,Jamaal Williams,RB,NO,29.0,0.76,Medium,13,13,37.1,26.9,26.9,72.5
,,0.0,0.0,0.0,49.0,225.0,1.3,26.0,17.0,122.0,0.8,64.3,00-0034115,Jeff Wilson,RB,MIA,29.0,0.76,Medium,10,7,10.6,53.699999999999996,53.699999999999996,506.6
,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,29.0,298.0,2.0,70.8,00-0034159,Will Dissly,TE,SEA,28.0,1.02,Medium,12,16,113.7,-42.900000000000006,42.900000000000006,-37.7
,,0.0,0.0,0.0,143.0,622.0,7.3,14.0,11.0,149.0,0.4,134.3,00-0034184,Gus Edwards,RB,BAL,29.0,0.76,High,19,12,66.30000000000001,68.0,68.0,102.6
,,0.0,0.0,0.0,0.0,0.0,0.0,87.0,60.0,598.0,1.3,127.6,00-0034270,Tyler Conklin,TE,NYJ,29.0,1.02,High,17,16,121.9,5.699999999999989,5.699999999999989,4.7
