player_name,position,pos_rank,adp,adp_prev,adp_change,snapshot_date,team,fpts_ppr,model_overall_rank,model_pos_rank_str,value_score
Kaytron Allen,RB,RB63,207.9,204.3,-3.6,2026-04-01,,,,,
Pat Freiermuth,TE,TE31,209.0,210.9,1.9,2026-04-01,PIT,107.9,178.0,TE25,31.0
Troy Franklin,WR,WR83,209.2,196.7,-12.5,2026-04-01,DEN,145.8,121.0,WR37,88.2
Ray Davis,RB,RB64,210.3,209.8,-0.5,2026-04-01,BUF,33.0,372.0,RB98,-161.7
Trey Benson,RB,RB65,210.9,190.5,-20.4,2026-04-01,,,,,
Hollywood Brown,WR,WR84,211.5,211.9,0.4,2026-04-01,,,,,
Germie Bernard,WR,WR85,212.8,218.6,5.8,2026-04-01,,,,,
Tory Horton,WR,WR86,213.2,210.5,-2.7,2026-04-01,SEA,90.4,203.0,WR74,10.2
Zachariah Branch,WR,WR87,213.2,212.7,-0.5,2026-04-01,,,,,
Jordan James,RB,RB66,214.5,234.0,19.5,2026-04-01,,,,,
Najee Harris,RB,RB67,215.6,229.5,13.9,2026-04-01,,,,,
Michael Penix,QB,QB32,217.0,210.7,-6.3,2026-04-01,,,,,
Jake Tonges,TE,TE32,219.9,217.4,-2.5,2026-04-01,SF,112.7,168.0,TE21,51.9
Elic Ayomanor,WR,WR88,222.6,221.9,-0.7,2026-04-01,TEN,101.3,189.0,WR65,33.6
Ollie Gordon,RB,RB68,223.3,220.4,-2.9,2026-04-01,,,,,
Ty Simpson,QB,QB33,223.7,230.3,6.6,2026-04-01,,,,,
Devaughn Vele,WR,WR89,224.6,223.3,-1.3,2026-04-01,NO,117.2,164.0,WR53,60.6
Colby Parkinson,TE,TE33,225.4,225.3,-0.1,2026-04-01,LA,122.3,156.0,TE16,69.4
Kyle Williams,WR,WR90,226.4,225.0,-1.4,2026-04-01,NE,38.8,348.0,WR132,-121.6
George Holani,RB,RB69,226.5,218.9,-7.6,2026-04-01,,,,,
Shedeur Sanders,QB,QB34,227.2,225.0,-2.2,2026-04-01,CLE,165.9,100.0,QB42,127.2
Tez Johnson,WR,WR91,230.1,230.6,0.5,2026-04-01,TB,55.3,278.0,WR103,-47.9
Chris Bell,WR,WR92,230.4,235.1,4.7,2026-04-01,,,,,
Cooper Kupp,WR,WR93,230.8,230.1,-0.7,2026-04-01,SEA,66.7,249.0,WR93,-18.2
Ted Hurst,WR,WR93,230.8,235.9,5.1,2026-04-01,,,,,
Mike Gesicki,TE,TE34,230.9,232.1,1.2,2026-04-01,CIN,83.7,217.0,TE33,13.9
Justice Hill,RB,RB70,231.2,232.7,1.5,2026-04-01,BAL,54.9,281.0,RB69,-49.8
Jaydon Blue,RB,RB71,231.5,229.1,-2.4,2026-04-01,,,,,
Demond Claiborne,RB,RB72,233.4,228.6,-4.8,2026-04-01,,,,,
Rashod Bateman,WR,WR95,233.7,233.0,-0.7,2026-04-01,BAL,83.2,218.0,WR81,15.7
Ja'Kobi Lane,WR,WR96,233.8,227.9,-5.9,2026-04-01,,,,,
Theo Johnson,TE,TE35,233.9,231.6,-2.3,2026-04-01,NYG,142.7,127.0,TE10,106.9
Jaylin Noel,WR,WR97,234.0,231.1,-2.9,2026-04-01,HOU,29.1,388.0,WR150,-154.0
