attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_standard,fpts_half_ppr,fpts_ppr,fpts_te_premium,player_id,player_name,position,team,age,age_multiplier,scenario,season_proj,model,projection_confidence,games_recent,returning_from_injury
,,0.0,0.0,0.0,144.0,646.0,5.4,78.0,66.0,439.0,3.4,161.3,194.3,227.3,227.3,00-0036919,Kenneth Gainwell,RB,PIT,27,0.94,bull,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,53.0,200.0,1.0,37.0,29.0,201.0,0.9,51.5,66.0,80.5,80.5,00-0036924,Michael Carter,RB,ARI,27,0.94,bear,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,104.0,393.0,1.9,49.0,40.0,274.0,1.6,87.7,107.7,127.7,127.7,00-0036924,Michael Carter,RB,ARI,27,0.94,base,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,130.0,490.0,2.4,47.0,38.0,258.0,2.0,101.2,120.2,139.2,139.2,00-0036924,Michael Carter,RB,ARI,27,0.94,bull,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,42.0,0.1,4.8,7.3,9.8,9.8,00-0036936,Rondale Moore,WR,ARI,26,1.02,bear,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,30.0,0.1,3.6,5.6,7.6,7.6,00-0036936,Rondale Moore,WR,ARI,26,1.02,base,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,23.0,0.1,2.9,4.4,5.9,5.9,00-0036936,Rondale Moore,WR,ARI,26,1.02,bull,2026,weighted_v1,High,17,False
287.0,180.0,1862.0,10.3,3.1,132.0,706.0,7.4,0.0,0.0,0.0,0.0,224.5,224.5,224.5,224.5,00-0036945,Justin Fields,QB,NYJ,27,1.0,bear,2026,weighted_v1,Low,9,False
389.0,245.0,2524.0,13.9,4.2,132.0,706.0,7.4,0.0,0.0,0.0,0.0,263.2,263.2,263.2,263.2,00-0036945,Justin Fields,QB,NYJ,27,1.0,base,2026,weighted_v1,Low,9,False
440.0,277.0,2855.0,15.8,4.7,132.0,706.0,7.4,0.0,0.0,0.0,0.0,283.0,283.0,283.0,283.0,00-0036945,Justin Fields,QB,NYJ,27,1.0,bull,2026,weighted_v1,Low,9,False
,,0.0,0.0,0.0,0.0,0.0,0.0,176.0,127.0,1483.0,9.3,204.1,267.6,331.1,331.1,00-0036963,Amon-Ra St. Brown,WR,DET,27,1.03,bear,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,0.0,0.0,0.0,153.0,110.0,1291.0,11.7,199.3,254.3,309.3,309.3,00-0036963,Amon-Ra St. Brown,WR,DET,27,1.03,base,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,0.0,0.0,0.0,160.0,115.0,1345.0,12.0,206.5,264.0,321.5,321.5,00-0036963,Amon-Ra St. Brown,WR,DET,27,1.03,bull,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,0.0,0.0,0.0,107.0,75.0,844.0,3.5,105.4,142.9,180.4,217.9,00-0036970,Kyle Pitts,TE,ATL,26,0.98,bear,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,0.0,0.0,0.0,111.0,77.0,862.0,4.9,115.6,154.1,192.6,231.1,00-0036970,Kyle Pitts,TE,ATL,26,0.98,base,2026,weighted_v1,High,17,False
